 時間帯,リンクID,種別,最大セクション,自由速度,平均速度,率
  600, 620100451,    1,   38,   12,    12.0,   1.000
  600, 610040111,    1,   43,    9,     8.9,   0.994
  600, 920300011,    1,   19,    9,     9.0,   1.000
  600, 620100391,    1,   28,   12,    12.0,   1.000
  600, 610040091,    1,   34,    9,     8.9,   0.991
  600, 921000031,    1,   97,    7,     7.0,   1.000
  600, 620100571,    1,   15,    9,     9.0,   1.000
  600, 620100531,    1,    3,   12,    12.0,   1.000
  600, 920430011,    1,   43,    7,     7.0,   1.000
  600, 920840031,    1,   47,    7,     7.0,   1.000
  600, 920160011,    1,   52,    7,     7.0,   1.000
  600, 620100491,    1,    7,   12,    12.0,   1.000
  600, 920200011,    1,   25,    7,     7.0,   1.000
  600, 921740051,    1,  103,    7,     7.0,   1.000
  600, 610040071,    1,   62,    9,     8.9,   0.987
  600, 921030011,    1,   43,    7,     7.0,   1.000
  600, 921220011,    1,   43,    7,     7.0,   1.000
  600, 920660171,    1,   27,   12,    12.0,   1.000
  600, 921970151,    1,   28,    7,     7.0,   1.000
  600, 910660151,    1,    7,   12,    12.0,   0.997
  600, 920660211,    1,   33,   12,    12.0,   1.000
  600, 921110051,    1,   45,    7,     7.0,   1.000
  600, 910660191,    1,    4,   12,    12.0,   0.998
  600, 920660231,    1,   33,   12,    12.0,   1.000
  600, 920550051,    1,   45,    7,     7.0,   1.000
  600, 910660211,    1,   33,   12,    12.0,   0.997
  600, 920800051,    1,   45,    7,     7.0,   1.000
  600, 910660231,    1,    3,   12,    12.0,   0.997
  600, 920150011,    1,   32,    7,     7.0,   1.000
  600, 921990031,    1,    9,    7,     7.0,   1.000
  600, 921990051,    1,   28,    7,     7.0,   1.000
  600, 921280011,    1,   14,    7,     7.0,   1.000
  600, 921280051,    1,   13,    7,     7.0,   1.000
  600, 920200071,    1,   18,    7,     7.0,   1.000
  600, 911380191,    1,   34,    7,     7.0,   1.000
  600, 921740031,    1,  133,    7,     7.0,   1.000
  600, 921550031,    1,    8,    7,     7.0,   1.000
  600, 921550071,    1,    3,    7,     7.0,   1.000
  600, 920160051,    1,   36,    7,     7.0,   1.000
  600, 911260011,    1,   52,    7,     7.0,   0.997
  600, 920680031,    1,   78,    7,     7.0,   1.000
  600, 920830031,    1,   70,    7,     7.0,   1.000
  600, 921380171,    1,   24,    7,     7.0,   1.000
  600, 911380151,    1,   86,    7,     7.0,   1.000
  600, 921290031,    1,    3,    7,     7.0,   1.000
  600, 921840011,    1,   34,    7,     7.0,   1.000
  600, 922010031,    1,    3,    7,     7.0,   1.000
  600, 921010011,    1,   18,    7,     7.0,   1.000
  600, 921970111,    1,   48,    7,     7.0,   1.000
  600, 921990071,    1,   33,    7,     7.0,   1.000
  600, 921990091,    1,   33,    7,     7.0,   1.000
  600, 921030031,    1,   15,    7,     7.0,   1.000
  600, 921010031,    1,   33,    7,     7.0,   1.000
  600, 911010011,    1,   18,    7,     7.0,   1.000
  600, 921010051,    1,   33,    7,     7.0,   1.000
  600, 911010031,    1,   33,    7,     7.0,   1.000
  600, 911010051,    1,   33,    7,     7.0,   1.000
  600, 920430031,    1,   35,    7,     7.0,   1.000
  600, 910430011,    1,   43,    7,     7.0,   1.000
  600, 921280071,    1,   26,    7,     7.0,   1.000
  600, 921280091,    1,    7,    7,     7.0,   1.000
  600, 921220031,    1,   36,    7,     7.0,   1.000
  600, 920200031,    1,   18,    7,     7.0,   1.000
  600, 910300011,    1,   19,    9,     9.0,   0.998
  600, 910930011,    1,   40,    7,     7.0,   1.000
