"避難手段","避難先番号","避難先名称","ノードID","校区ID","洪水","高潮","津波","x","y","z"
1,1,"三和中学校",6224,0,2,1,1,130.665220009396,32.7860113979747,50
1,2,"西部交流センター",6197,10,1,1,3,130.64664669645,32.7764585626593,50
1,3,"西部公民館",6198,10,2,2,3,130.647512953979,32.7763756934182,50
1,4,"小島小学校",6193,10,2,2,3,130.634592095591,32.7789653212875,50
1,5,"城西中学校",6192,10,1,2,3,130.633432195822,32.7819484847357,50
1,6,"小島公園",6194,10,3,3,3,130.637598896033,32.7756789083401,50
1,7,"河内交流室・公民館",6188,12,1,2,1,130.583858694096,32.8366811956789,80
1,8,"河内小学校",6189,12,1,2,1,130.591516030539,32.82843626992,50
1,9,"旧河内小学校白浜分校",6187,12,1,1,1,130.586990956205,32.8418903365507,80
1,10,"河内中学校",6190,12,1,2,1,130.59058288091,32.8284279007961,50
1,11,"城山小学校",6201,9,2,1,1,130.657128146339,32.7780530191394,50
1,12,"熊本西高校",6200,9,2,2,3,130.649431928549,32.7827217578167,50
1,13,"西部環境工場",6195,9,2,2,3,130.64678912317,32.7741280110595,50
1,14,"城山公園運動施設",6199,9,3,3,1,130.651184314426,32.7756871703713,50
1,15,"花陵中学校",6222,0,2,1,1,130.678554206517,32.7793123699436,50
1,16,"高橋小学校",6225,0,2,2,1,130.656275821126,32.7841997328289,50
1,17,"中島小学校",6204,8,2,2,3,130.628888963557,32.7665995051219,50
1,18,"中島中央公園",6203,8,3,3,3,130.627449168767,32.7668411513573,50
1,19,"白川中原緑地",6202,8,3,3,3,130.643631760187,32.7697032606765,50
1,20,"旧松尾西小学校",6191,11,2,2,3,130.614641904831,32.7978628975167,50
1,21,"旧松尾東小学校",6228,0,1,1,1,130.634615939824,32.7966079241073,100
1,22,"飽田東小学校",6217,7,2,1,1,130.662251,32.763097,50
1,23,"飽田中学校",6216,7,2,1,3,130.653512702519,32.7600814161673,50
1,24,"飽田公園運動場",6215,7,3,3,3,130.65179091038,32.7577675071617,50
1,25,"白川飽田緑地",6218,7,3,3,3,130.661624634387,32.7695027176816,50
1,26,"飽田西小学校",6205,5,2,2,3,130.633896279732,32.7546412062064,50
1,27,"飽田まちづくりセンター・公民館",6214,6,2,2,3,130.653547820659,32.754402276642,50
1,28,"飽田南小学校",6213,6,2,2,3,130.662915261595,32.7501423958681,50
1,29,"天明体育館",6208,2,2,2,3,130.635925621059,32.7324587734017,50
1,30,"奥古閑小学校",6206,2,2,2,3,130.624544026048,32.730595275286,50
1,31,"天明中学校",6210,2,2,2,3,130.636448,32.73446,50
1,32,"天明まちづくりセンター・公民館",6209,2,2,2,3,130.636815980316,32.7328547203071,50
1,33,"川口小学校",6207,1,2,2,3,130.627398430259,32.7175217532264,50
1,34,"川尻小学校",6219,0,2,2,1,130.681847092744,32.7398286899284,50
1,35,"銭塘小学校",6211,4,2,2,3,130.645965399162,32.7416758569812,50
1,36,"中緑小学校",6212,3,2,2,3,130.66026183057,32.7309227850927,50
1,37,"南部総合スポーツセンター",6220,0,1,1,1,130.673340938866,32.7553198033157,50
1,38,"アクアドームくまもと",6221,0,2,1,1,130.667876899519,32.7633674043365,50
1,39,"城南中学校",6237,0,2,2,1,130.687399561553,32.7440310642923,0
1,40,"城南小学校",6236,0,2,2,1,130.690978819032,32.7516218975506,0
1,41,"フィットネスデイサービス流れ星",6247,5,1,1,1,130.6403931,32.75387633,0
1,42,"熊青西九州青果",6245,0,1,1,1,130.676429,32.782244,0
1,43,"生活リハビリ村2階（隣）",6244,9,1,1,1,130.6688546,32.78331927,0
1,44,"河内郵便局付近",6238,12,1,1,1,130.589451,32.82898,0
1,45,"小島団地",6241,10,1,1,1,130.637082,32.779361,0
1,46,"有料老人ホーム縁なごみ2階",6240,10,1,1,1,130.6322445,32.78015386,0
1,47,"城山",6243,9,1,1,1,130.6612322,32.78491028,0
1,48,"ケアハウス宝光庵",6249,2,1,1,1,130.6208025,32.72949375,0
1,49,"しょうぶの里（別施設）",6239,10,1,1,1,130.6285281,32.78250212,0
