"グループ番号","グループ属性","グループ人数","町丁目コード","座標X","座標Y","校区番号","町丁目名","小学校区名"
1,1,1,"103012101",-32146.14,-24305.97,9,"熊本市西区 城山大塘 一丁目","城山小学校"
2,1,1,"103012101",-31997.62,-24313.23,9,"熊本市西区 城山大塘 一丁目","城山小学校"
3,1,1,"103012101",-32077.74,-24287.27,9,"熊本市西区 城山大塘 一丁目","城山小学校"
4,1,1,"103012101",-32027.99,-24406.46,9,"熊本市西区 城山大塘 一丁目","城山小学校"
5,1,1,"103012101",-32028.05,-24048.91,9,"熊本市西区 城山大塘 一丁目","城山小学校"
6,1,1,"103012101",-32100.95,-24028.64,9,"熊本市西区 城山大塘 一丁目","城山小学校"
7,1,1,"103012101",-32018.8,-24273.94,9,"熊本市西区 城山大塘 一丁目","城山小学校"
8,1,1,"103012101",-31943.38,-24255.44,9,"熊本市西区 城山大塘 一丁目","城山小学校"
9,1,1,"103012101",-32091.39,-23951.64,9,"熊本市西区 城山大塘 一丁目","城山小学校"
10,1,1,"103012101",-31984.99,-24238.53,9,"熊本市西区 城山大塘 一丁目","城山小学校"
11,1,1,"103012101",-32072.24,-24254.31,9,"熊本市西区 城山大塘 一丁目","城山小学校"
12,1,1,"103012101",-32091.39,-23951.64,9,"熊本市西区 城山大塘 一丁目","城山小学校"
13,1,1,"103012101",-31968.25,-24469.61,9,"熊本市西区 城山大塘 一丁目","城山小学校"
14,1,1,"103012101",-32056.97,-24183.51,9,"熊本市西区 城山大塘 一丁目","城山小学校"
15,1,1,"103012101",-32107.45,-24422.83,9,"熊本市西区 城山大塘 一丁目","城山小学校"
16,1,1,"103012101",-32099.61,-24106.33,9,"熊本市西区 城山大塘 一丁目","城山小学校"
17,1,1,"103012101",-32122.93,-24250.43,9,"熊本市西区 城山大塘 一丁目","城山小学校"
18,1,1,"103012101",-31986.97,-24370.06,9,"熊本市西区 城山大塘 一丁目","城山小学校"
19,1,1,"103012101",-31943.6,-24272.41,9,"熊本市西区 城山大塘 一丁目","城山小学校"
20,1,1,"103012101",-32040.26,-24146.01,9,"熊本市西区 城山大塘 一丁目","城山小学校"
21,1,1,"103012101",-32122.93,-24250.43,9,"熊本市西区 城山大塘 一丁目","城山小学校"
22,1,1,"103012101",-32068.01,-24313.93,9,"熊本市西区 城山大塘 一丁目","城山小学校"
23,1,1,"103012101",-32120.25,-24200.54,9,"熊本市西区 城山大塘 一丁目","城山小学校"
24,1,1,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
25,1,1,"103012101",-32027.99,-24406.46,9,"熊本市西区 城山大塘 一丁目","城山小学校"
26,1,1,"103012101",-32059.8,-24288.62,9,"熊本市西区 城山大塘 一丁目","城山小学校"
27,1,1,"103012101",-32073.71,-24061.98,9,"熊本市西区 城山大塘 一丁目","城山小学校"
28,1,1,"103012101",-32070.81,-24232.11,9,"熊本市西区 城山大塘 一丁目","城山小学校"
29,1,1,"103012101",-32054.26,-24256.98,9,"熊本市西区 城山大塘 一丁目","城山小学校"
30,1,1,"103012101",-32138.78,-24211.55,9,"熊本市西区 城山大塘 一丁目","城山小学校"
31,1,1,"103012101",-31981.4,-24592.7,9,"熊本市西区 城山大塘 一丁目","城山小学校"
32,1,1,"103012101",-32070.82,-24324.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
33,1,1,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
34,1,1,"103012101",-32015.93,-24246.66,9,"熊本市西区 城山大塘 一丁目","城山小学校"
35,1,1,"103012101",-32040.26,-24146.01,9,"熊本市西区 城山大塘 一丁目","城山小学校"
36,1,1,"103012101",-32051.83,-24232.46,9,"熊本市西区 城山大塘 一丁目","城山小学校"
37,1,1,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
38,1,1,"103012101",-32059.89,-24150.74,9,"熊本市西区 城山大塘 一丁目","城山小学校"
39,1,1,"103012101",-32051.45,-24216.66,9,"熊本市西区 城山大塘 一丁目","城山小学校"
40,1,1,"103012101",-32103.17,-24321.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
41,1,1,"103012101",-32004.81,-24390.94,9,"熊本市西区 城山大塘 一丁目","城山小学校"
42,1,1,"103012101",-31955.71,-24254.14,9,"熊本市西区 城山大塘 一丁目","城山小学校"
43,4,1,"103012101",-32015.23,-24252.65,9,"熊本市西区 城山大塘 一丁目","城山小学校"
44,4,1,"103012101",-32053.23,-24246.1,9,"熊本市西区 城山大塘 一丁目","城山小学校"
45,4,1,"103012101",-32098.75,-24171.33,9,"熊本市西区 城山大塘 一丁目","城山小学校"
46,4,1,"103012101",-32070.82,-24324.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
47,4,1,"103012101",-32028.05,-24048.91,9,"熊本市西区 城山大塘 一丁目","城山小学校"
48,4,1,"103012101",-31990.8,-24407.75,9,"熊本市西区 城山大塘 一丁目","城山小学校"
49,4,1,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
50,4,1,"103012101",-32037.2,-24051.51,9,"熊本市西区 城山大塘 一丁目","城山小学校"
51,4,1,"103012101",-32102.04,-24399.54,9,"熊本市西区 城山大塘 一丁目","城山小学校"
52,4,1,"103012101",-32099.61,-24106.33,9,"熊本市西区 城山大塘 一丁目","城山小学校"
53,4,1,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
54,4,1,"103012101",-32042.66,-24424.84,9,"熊本市西区 城山大塘 一丁目","城山小学校"
55,4,1,"103012101",-32094.79,-24256.4,9,"熊本市西区 城山大塘 一丁目","城山小学校"
56,4,1,"103012101",-31989.85,-24198.28,9,"熊本市西区 城山大塘 一丁目","城山小学校"
57,4,1,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
58,4,1,"103012101",-32145.44,-24288.54,9,"熊本市西区 城山大塘 一丁目","城山小学校"
59,4,1,"103012101",-32006.66,-24405.71,9,"熊本市西区 城山大塘 一丁目","城山小学校"
60,4,1,"103012101",-32078.82,-24157.92,9,"熊本市西区 城山大塘 一丁目","城山小学校"
61,4,1,"103012101",-32040.26,-24146.01,9,"熊本市西区 城山大塘 一丁目","城山小学校"
62,4,1,"103012101",-32091.39,-23951.64,9,"熊本市西区 城山大塘 一丁目","城山小学校"
63,4,1,"103012101",-32054.2,-24382.54,9,"熊本市西区 城山大塘 一丁目","城山小学校"
64,4,1,"103012101",-32059.8,-24288.62,9,"熊本市西区 城山大塘 一丁目","城山小学校"
65,4,1,"103012101",-32037.59,-24381.14,9,"熊本市西区 城山大塘 一丁目","城山小学校"
66,4,1,"103012101",-31942.95,-24157.12,9,"熊本市西区 城山大塘 一丁目","城山小学校"
67,4,1,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
68,4,1,"103012101",-32042.15,-24404.64,9,"熊本市西区 城山大塘 一丁目","城山小学校"
69,4,1,"103012101",-32054.2,-24382.54,9,"熊本市西区 城山大塘 一丁目","城山小学校"
70,4,1,"103012101",-32049.08,-24193.15,9,"熊本市西区 城山大塘 一丁目","城山小学校"
