"","避難先番号","避難先名称","経過時間帯","避難グループ数","避難者数","累積避難グループ数","累積避難者数","経過時間_出力"
"1",1,"三和中学校",1,0,0,0,0,5
"2",1,"三和中学校",2,1,2,1,2,10
"3",1,"三和中学校",3,0,0,1,2,15
"4",1,"三和中学校",4,4,11,5,13,20
"5",1,"三和中学校",5,6,15,11,28,25
"6",1,"三和中学校",6,10,24,21,52,30
"7",1,"三和中学校",7,7,26,28,78,35
"8",1,"三和中学校",8,6,23,34,101,40
"9",1,"三和中学校",9,7,11,41,112,45
"10",1,"三和中学校",10,13,37,54,149,50
"11",1,"三和中学校",11,10,25,64,174,55
"12",1,"三和中学校",12,9,28,73,202,60
"13",1,"三和中学校",13,8,16,81,218,65
"14",1,"三和中学校",14,6,11,87,229,70
"15",1,"三和中学校",15,10,29,97,258,75
"16",1,"三和中学校",16,9,24,106,282,80
"17",1,"三和中学校",17,11,37,117,319,85
"18",1,"三和中学校",18,10,30,127,349,90
"19",1,"三和中学校",19,16,46,143,395,95
"20",1,"三和中学校",20,11,27,154,422,100
"21",1,"三和中学校",21,11,32,165,454,105
"22",1,"三和中学校",22,10,25,175,479,110
"23",1,"三和中学校",23,8,22,183,501,115
"24",1,"三和中学校",24,12,42,195,543,120
"25",1,"三和中学校",25,12,37,207,580,125
"26",1,"三和中学校",26,12,38,219,618,130
"27",1,"三和中学校",27,14,43,233,661,135
"28",1,"三和中学校",28,8,20,241,681,140
"29",1,"三和中学校",29,4,11,245,692,145
"30",1,"三和中学校",30,1,2,246,694,150
"31",1,"三和中学校",31,0,0,246,694,155
"32",1,"三和中学校",32,0,0,246,694,160
"33",1,"三和中学校",33,0,0,246,694,165
"34",1,"三和中学校",34,0,0,246,694,170
"35",1,"三和中学校",35,0,0,246,694,175
"36",1,"三和中学校",36,0,0,246,694,180
"37",1,"三和中学校",37,0,0,246,694,185
"38",1,"三和中学校",38,0,0,246,694,190
"39",1,"三和中学校",39,0,0,246,694,195
"40",1,"三和中学校",40,0,0,246,694,200
"41",1,"三和中学校",41,0,0,246,694,205
"42",1,"三和中学校",42,0,0,246,694,210
"43",1,"三和中学校",43,0,0,246,694,215
"44",1,"三和中学校",44,0,0,246,694,220
"45",1,"三和中学校",45,0,0,246,694,225
"46",1,"三和中学校",46,0,0,246,694,230
"47",1,"三和中学校",47,0,0,246,694,235
"48",1,"三和中学校",48,0,0,246,694,240
"49",1,"三和中学校",49,0,0,246,694,245
"50",1,"三和中学校",50,0,0,246,694,250
"51",1,"三和中学校",51,0,0,246,694,255
"52",1,"三和中学校",52,0,0,246,694,260
"53",1,"三和中学校",53,0,0,246,694,265
"54",1,"三和中学校",54,0,0,246,694,270
"55",1,"三和中学校",55,0,0,246,694,275
"56",1,"三和中学校",56,0,0,246,694,280
"57",1,"三和中学校",57,0,0,246,694,285
"58",1,"三和中学校",58,0,0,246,694,290
"59",1,"三和中学校",59,0,0,246,694,295
"60",1,"三和中学校",60,0,0,246,694,300
"61",1,"三和中学校",61,0,0,246,694,305
"62",1,"三和中学校",62,0,0,246,694,310
"63",1,"三和中学校",63,0,0,246,694,315
"64",1,"三和中学校",64,0,0,246,694,320
